Feature,Importance
3,0.27677783
82,0.078804955
135,0.06005524
10,0.053634763
48,0.048397075
5,0.02308018
131,0.022806939
110,0.021128578
103,0.020300204
38,0.01614208
28,0.013495553
129,0.012019127
45,0.011528849
121,0.010749496
81,0.0105731785
29,0.010495706
59,0.009962376
55,0.008657324
47,0.008053331
7,0.0076783574
20,0.007621503
80,0.0073513947
42,0.0072473586
32,0.0071650785
79,0.007011698
98,0.0068265162
73,0.006708304
17,0.006567548
91,0.006399927
122,0.0062905294
16,0.0058674305
4,0.0058404487
96,0.005490268
58,0.005156569
33,0.005034523
123,0.004733218
8,0.004617524
34,0.004609926
149,0.0046010967
62,0.0044078534
9,0.0043413346
24,0.0042862217
140,0.0042277244
142,0.0041989014
43,0.004085322
13,0.00406332
106,0.003982904
126,0.003853672
97,0.0038319922
87,0.0038164638
51,0.0036722862
71,0.0036690384
116,0.0035378796
68,0.0034169648
35,0.0034104784
124,0.0032436973
11,0.0031527989
100,0.00310445
150,0.0028731576
74,0.002673582
139,0.0026530824
36,0.002652353
67,0.002555764
85,0.002472897
141,0.0023485841
6,0.002208129
99,0.0021925664
49,0.0021780941
64,0.0020899514
31,0.0019952785
155,0.00198441
21,0.0019648182
145,0.00195554
18,0.0019071734
101,0.0019031152
30,0.0018949284
50,0.0018629924
107,0.0018494417
19,0.0018213011
127,0.0016802879
151,0.0016427861
14,0.0016414721
83,0.0016298506
105,0.0015967392
0,0.001587259
12,0.0015637677
112,0.0015515744
63,0.001379464
39,0.0013649396
117,0.0013028934
44,0.0012799507
136,0.0012476833
15,0.0012295372
134,0.0012158924
95,0.0011813646
111,0.0011768955
69,0.001167691
70,0.0011542328
53,0.0010791259
88,0.0010671698
2,0.0010159825
1,0.00096097187
130,0.0009404078
128,0.00093429774
146,0.00091704645
77,0.0008358737
46,0.0008096191
119,0.0007719893
37,0.00076960045
89,0.0007585049
56,0.00071694085
27,0.00070834416
125,0.0006880229
65,0.00067716674
115,0.00066666864
61,0.0006529265
144,0.00061259256
25,0.0
22,0.0
23,0.0
26,0.0
57,0.0
40,0.0
41,0.0
90,0.0
86,0.0
84,0.0
76,0.0
78,0.0
60,0.0
72,0.0
75,0.0
66,0.0
52,0.0
54,0.0
94,0.0
93,0.0
92,0.0
102,0.0
104,0.0
120,0.0
118,0.0
113,0.0
114,0.0
108,0.0
109,0.0
133,0.0
132,0.0
138,0.0
137,0.0
147,0.0
143,0.0
148,0.0
152,0.0
153,0.0
154,0.0
